[2025-11-07 23:55:07] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:11] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:14] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:17] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:20] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:23] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:26] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:29] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:32] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:35] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:38] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:41] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:44] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-07 23:55:47] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim
[2025-11-08 00:03:57] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: user_closed
[2025-11-08 00:04:00] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
[2025-11-08 00:04:02] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: launcher_closed
[2025-11-09 00:25:05] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-09 00:25:32] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: user_closed
[2025-11-11 10:29:56] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: user_closed
[2025-11-11 10:30:20] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: user_closed
[2025-11-11 10:30:23] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: crashed
[2025-11-11 10:30:29] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-11 10:31:38] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: user_closed
[2025-11-11 10:31:47] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-11 10:31:53] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: user_closed
[2025-11-11 10:31:55] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-13 11:36:08] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: crashed
[2025-11-13 11:36:12] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-13 11:36:12] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
[2025-11-13 11:36:51] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-13 11:36:51] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
[2025-11-13 11:37:58] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-13 11:37:58] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
[2025-11-13 11:38:30] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-13 11:38:30] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
[2025-11-13 11:38:30] App: chrome, Executable: /usr/bin/google-chrome, Termination: stopped_by_launcher
[2025-11-24 16:43:58] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:01] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:04] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:07] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: crashed
[2025-11-24 16:44:07] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:10] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:10] App: chrome, Executable: /usr/bin/google-chrome, Termination: crashed
[2025-11-24 16:44:13] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:15] App: sim, Executable: /home/ashen/projects/duallauncher-main/apps/sim, Termination: stopped_by_launcher
[2025-11-24 16:44:16] App: chrome, Executable: /usr/bin/google-chrome, Termination: stopped_by_launcher
[2025-11-24 16:44:31] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:34] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:37] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: crashed
[2025-11-24 16:44:38] App: chart, Executable: /home/ashen/projects/duallauncher-main/apps/usv-navigation-backend, Termination: stopped_by_launcher
